Date,AUDTHB,AUDJPY,AUDUSD
2-Oct-08,26.33,81.13,0.7722
3-Oct-08,26.45,81.43,0.7741
6-Oct-08,24.795,73.38,0.7202
7-Oct-08,24.365,71.55,0.7117
8-Oct-08,22.8,66.63,0.6638
9-Oct-08,23.43,66.48,0.6832
10-Oct-08,22.095,64.62,0.6432
13-Oct-08,23.89,72.39,0.6984
14-Oct-08,23.83,70.36,0.7001
15-Oct-08,22.405,65.53,0.6513
16-Oct-08,23.74,69.63,0.6931
17-Oct-08,23.57,69.99,0.6889
20-Oct-08,24.19,71.72,0.7056
21-Oct-08,23.17,67.71,0.6719
22-Oct-08,23.23,64.84,0.6731
23-Oct-08,23.32,65.3,0.6727
24-Oct-08,21.605,58.62,0.6234
27-Oct-08,20.98,56.4,0.602
28-Oct-08,22.59,63.82,0.6462
29-Oct-08,23.3,65.43,0.6662
30-Oct-08,23.645,66.12,0.6792
31-Oct-08,23.41,63.12,0.6679
3-Nov-08,23.69,66.85,0.6785
4-Nov-08,24.51,69.64,0.7006
5-Nov-08,23.995,66.63,0.6858
6-Nov-08,23.255,64.74,0.6649
7-Nov-08,23.62,66.92,0.6758
10-Nov-08,23.36,65.76,0.6688
11-Nov-08,22.995,63.84,0.6571
12-Nov-08,22.3,60.41,0.6378
13-Nov-08,23.305,64.97,0.6661
14-Nov-08,22.695,62.53,0.6488
17-Nov-08,22.72,62.44,0.6496
18-Nov-08,22.835,62.9,0.6521
19-Nov-08,22.365,61.22,0.638
20-Nov-08,21.395,57.31,0.6087
21-Nov-08,22.17,60.53,0.6306
24-Nov-08,23.04,62.9,0.6532
25-Nov-08,22.9,61.9,0.6501
26-Nov-08,23.05,62.48,0.6541
27-Nov-08,23.3,62.58,0.6575
28-Nov-08,23.23,61.94,0.6551
1-Dec-08,22.38,59.14,0.6401
2-Dec-08,22.53,59.89,0.6453
3-Dec-08,22.77,60.33,0.6477
4-Dec-08,22.71,59.44,0.6447
5-Dec-08,22.81,59.99,0.6473
8-Dec-08,23.25,61.62,0.6679
9-Dec-08,23.03,60.68,0.6562
10-Dec-08,22.99,60.87,0.6567
11-Dec-08,23.73,61.31,0.6715
12-Dec-08,23.02,58.11,0.6622
15-Dec-08,23.55,60.56,0.6673
16-Dec-08,24.28,61.59,0.6971
17-Dec-08,24.53,61.57,0.7023
18-Dec-08,24.02,61.99,0.6851
19-Dec-08,23.59,60.53,0.6828
22-Dec-08,23.94,61.69,0.6848
23-Dec-08,23.85,61.75,0.681
24-Dec-08,24,62,0.6825
25-Dec-08,23.74,61.73,0.6827
26-Dec-08,24.29,62.39,0.6862
29-Dec-08,24.36,62.52,0.6873
30-Dec-08,24.24,62.4,0.6914
31-Dec-08,24.98,64.63,0.7076
1-Jan-09,24.72,63.96,0.7023
2-Jan-09,25.04,65.59,0.7105
5-Jan-09,25.2,66.58,0.7173
6-Jan-09,25.46,67.27,0.7231
7-Jan-09,25.03,65.88,0.7117
8-Jan-09,25.03,65.06,0.7128
9-Jan-09,24.68,63.32,0.7033
12-Jan-09,23.97,60.77,0.6804
13-Jan-09,23.52,59.66,0.6638
14-Jan-09,23.45,59.27,0.6593
15-Jan-09,23.48,60.03,0.665
16-Jan-09,23.93,61.64,0.6728
19-Jan-09,23.54,60.49,0.6703
20-Jan-09,22.91,58.31,0.6478
21-Jan-09,23.24,58.65,0.6643
22-Jan-09,23.08,58.38,0.6556
23-Jan-09,23.24,58.7,0.6555
26-Jan-09,23.34,59.12,0.6593
27-Jan-09,23.42,59.38,0.6626
28-Jan-09,23.45,60.23,0.6658
29-Jan-09,22.94,58.46,0.6528
30-Jan-09,22.43,56.92,0.6351
2-Feb-09,22.3,56.39,0.6314
3-Feb-09,22.93,58.03,0.6527
4-Feb-09,22.69,57.51,0.6431
5-Feb-09,23.03,59.45,0.6521
6-Feb-09,24.06,62.69,0.676
9-Feb-09,23.85,61.6,0.6804
10-Feb-09,23.24,59.46,0.6525
11-Feb-09,23.18,59.08,0.6558
12-Feb-09,23.32,59.57,0.6528
13-Feb-09,23.59,61.02,0.657
16-Feb-09,22.82,59.9,0.6492
17-Feb-09,22.72,58.81,0.6347
18-Feb-09,22.87,59.89,0.6379
19-Feb-09,23.16,60.63,0.6433
20-Feb-09,23.46,60.85,0.646
23-Feb-09,23.1,60.5,0.6421
24-Feb-09,23.51,63.03,0.6502
25-Feb-09,23.41,63.02,0.6464
26-Feb-09,23.55,63.63,0.649
27-Feb-09,23.19,61.45,0.6399
2-Mar-09,23.14,61.13,0.6296
3-Mar-09,23.32,62.84,0.6391
4-Mar-09,23.61,64.07,0.6492
5-Mar-09,23.41,62.72,0.6375
6-Mar-09,23.2,63.46,0.6407
9-Mar-09,23.18,62.81,0.6321
10-Mar-09,23.54,64.04,0.6458
11-Mar-09,23.56,63.05,0.6499
12-Mar-09,23.72,63.68,0.6562
13-Mar-09,24.01,65.01,0.6588
16-Mar-09,23.88,64.83,0.6596
17-Mar-09,23.97,65.48,0.6618
18-Mar-09,24.49,65.42,0.6806
19-Mar-09,24.58,65.02,0.6855
20-Mar-09,24.45,66.35,0.6867
23-Mar-09,25.09,68.37,0.7057
24-Mar-09,24.99,68.79,0.6951
25-Mar-09,25.01,68.36,0.6973
26-Mar-09,25.07,69.33,0.7022
27-Mar-09,24.51,67.24,0.6937
30-Mar-09,24.43,66.28,0.6807
31-Mar-09,24.8,68.77,0.6922
1-Apr-09,25.02,68.83,0.6987
2-Apr-09,25.65,71.79,0.7149
3-Apr-09,25.23,70.36,0.715
6-Apr-09,25.21,70.99,0.7125
7-Apr-09,25.55,71.71,0.7097
8-Apr-09,25.37,70.74,0.7095
9-Apr-09,25.74,72.35,0.7199
10-Apr-09,25.81,72.01,0.7196
13-Apr-09,26.33,73.47,0.7309
14-Apr-09,25.86,71.61,0.7236
15-Apr-09,26.01,72.26,0.7283
16-Apr-09,25.71,71.68,0.72
17-Apr-09,25.89,71.11,0.7215
20-Apr-09,25.1,68.22,0.6978
21-Apr-09,25.4,69.71,0.7107
22-Apr-09,25.36,69.28,0.7052
23-Apr-09,25.52,69.7,0.7147
24-Apr-09,25.85,70.34,0.7232
27-Apr-09,24.83,68.08,0.7096
28-Apr-09,24.8,68.25,0.7062
29-Apr-09,25.39,70.77,0.7257
30-Apr-09,25.48,72.07,0.7252
1-May-09,25.68,72.94,0.7307
4-May-09,25.78,73.28,0.7401
5-May-09,25.72,72.96,0.7414
6-May-09,26.04,73.8,0.7465
7-May-09,26.11,74.88,0.7566
8-May-09,26.59,75.9,0.7697
11-May-09,26.04,74.1,0.7585
12-May-09,26.26,73.86,0.7651
13-May-09,25.78,71.76,0.753
14-May-09,25.98,72.84,0.7598
15-May-09,25.61,71.04,0.7488
18-May-09,26.14,73.61,0.7651
19-May-09,26.4,74.51,0.7735
20-May-09,26.573,73.21,0.7743
21-May-09,26.58,73.26,0.7789
22-May-09,26.773,74.35,0.7828
25-May-09,26.662,74.08,0.7821
26-May-09,26.88,74.99,0.7863
27-May-09,26.55,74.41,0.7752
28-May-09,26.78,75.96,0.785
29-May-09,27.458,76.9,0.8012
1-Jun-09,27.42,78.21,0.8102
