Date,US_THB,US_AUD,US_JPY
20-May-13,29.78,0.9788,102.54
21-May-13,29.8,0.98,102.36
22-May-13,29.8,0.9686,103.52
23-May-13,29.9,0.9759,101.66
24-May-13,29.94,0.9675,100.98
27-May-13, , , 
28-May-13,30.04,0.9642,102.07
29-May-13,30.15,0.9632,100.91
30-May-13,30.14,0.9662,101.06
31-May-13,30.38,0.9608,100.83
3-Jun-13,30.31,0.977,99.18
4-Jun-13,30.42,0.964,100.15
5-Jun-13,30.5,0.9533,99.16
6-Jun-13,30.56,0.9592,97.76
7-Jun-13,30.63,0.9494,97.2
10-Jun-13,30.76,0.9469,98.88
11-Jun-13,30.95,0.9421,96.82
12-Jun-13,30.92,0.9513,95.36
13-Jun-13,30.77,0.9601,94.29
14-Jun-13,30.56,0.9587,94.34
17-Jun-13,30.65,0.9541,94.87
18-Jun-13,30.88,0.9493,95.2
19-Jun-13,30.68,0.9536,95.22
20-Jun-13,31.12,0.9188,98.18
21-Jun-13,31.16,0.9191,97.48
24-Jun-13,31.08,0.9236,97.7
25-Jun-13,31.06,0.9248,97.87
26-Jun-13,31.1,0.9291,97.43
27-Jun-13,31.12,0.9282,98.4
28-Jun-13,31.09,0.9165,99.21
1-Jul-13,30.9,0.9247,99.62
2-Jul-13,30.97,0.9158,100.43
3-Jul-13,31.09,0.9087,99.82
4-Jul-13, , , 
5-Jul-13,31.24,0.907,100.94
8-Jul-13,31.41,0.9114,101.07
9-Jul-13,31.27,0.9161,101.08
10-Jul-13,31.23,0.9145,100.1
11-Jul-13,31.14,0.9149,98.8
12-Jul-13,31.14,0.9049,99.39
15-Jul-13,31.12,0.9086,100.04
16-Jul-13,31.04,0.9226,99.37
17-Jul-13,31.04,0.9209,99.7
18-Jul-13,31.02,0.9152,100.6
19-Jul-13,31,0.92,100.3
22-Jul-13,30.92,0.9252,99.6
23-Jul-13,30.93,0.9259,99.76
24-Jul-13,30.98,0.9186,100.21
25-Jul-13,31.05,0.9192,99.56
26-Jul-13,31.14,0.9242,98.24
29-Jul-13,31.14,0.921,97.8
30-Jul-13,31.27,0.906,98.02
31-Jul-13,31.34,0.8957,98.35
1-Aug-13,31.31,0.8919,99.3
2-Aug-13,31.23,0.8901,99.04
5-Aug-13,31.35,0.8914,98.54
6-Aug-13,31.4,0.8972,97.85
7-Aug-13,31.37,0.9014,96.72
8-Aug-13,31.16,0.9111,96.03
9-Aug-13,31.19,0.9187,96.24
12-Aug-13,31.2,0.9177,96.44
13-Aug-13,31.26,0.9093,98.06
14-Aug-13,31.24,0.914,98.15
15-Aug-13,31.27,0.9105,97.81
16-Aug-13,31.25,0.9193,97.6
19-Aug-13,31.36,0.9132,97.94
20-Aug-13,31.6,0.9094,97.12
21-Aug-13,31.86,0.9013,97.66
22-Aug-13,32.02,0.9026,98.53
23-Aug-13,31.87,0.9038,98.57
26-Aug-13,31.92,0.9039,98.64
27-Aug-13,32.15,0.8964,97.3
28-Aug-13,32.16,0.8949,97.65
29-Aug-13,32.12,0.8924,98.46
30-Aug-13,32.13,0.8901,98.22
2-Sep-13, , , 
3-Sep-13,32.14,0.9055,99.43
4-Sep-13,32.13,0.9187,99.61
5-Sep-13,32.31,0.9132,100.08
6-Sep-13,32.17,0.9205,99.04
9-Sep-13,32.08,0.9233,99.55
10-Sep-13,32.12,0.9289,100.22
11-Sep-13,31.91,0.9312,100.08
12-Sep-13,31.61,0.9271,99.24
13-Sep-13,31.81,0.9243,99.38
16-Sep-13,31.66,0.9331,98.98
17-Sep-13,31.68,0.9364,99.16
18-Sep-13,31.65,0.9344,99.04
19-Sep-13,31.03,0.9444,99.33
20-Sep-13,31.04,0.9397,99.38
23-Sep-13,31.18,0.9444,98.76
24-Sep-13,31.27,0.9404,98.76
25-Sep-13,31.22,0.9386,98.62
26-Sep-13,31.16,0.9354,98.95
27-Sep-13,31.28,0.9324,98.3
30-Sep-13,31.24,0.9342,98.29
1-Oct-13,31.21,0.9387,98.05
2-Oct-13,31.26,0.9366,97.36
3-Oct-13,31.28,0.9382,97.08
4-Oct-13,31.27,0.9443,97.2
7-Oct-13,31.36,0.9436,97.02
8-Oct-13,31.36,0.9449,96.94
9-Oct-13,31.44,0.9434,97.23
10-Oct-13,31.35,0.9466,98.09
11-Oct-13,31.29,0.9473,98.42
14-Oct-13, , , 
15-Oct-13,31.25,0.9523,98.58
16-Oct-13,31.24,0.9529,98.9
17-Oct-13,30.98,0.9642,97.85
18-Oct-13,31.06,0.9671,97.77
21-Oct-13,31.12,0.9662,98.14
22-Oct-13,31.03,0.9705,98.18
23-Oct-13,31.17,0.9632,97.28
24-Oct-13,31.12,0.9601,97.36
25-Oct-13,31.04,0.9578,97.46
28-Oct-13,31.05,0.9569,97.7
29-Oct-13,31.01,0.9498,98.09
30-Oct-13,31.04,0.9491,98.14
31-Oct-13,31.14,0.9471,98.1
1-Nov-13,31.22,0.9438,98.78
4-Nov-13,31.29,0.951,98.62
5-Nov-13,31.26,0.9487,98.6
6-Nov-13,31.26,0.9518,98.6
7-Nov-13,31.33,0.9469,98.56
8-Nov-13,31.46,0.9381,99.03
11-Nov-13, , , 
12-Nov-13,31.59,0.929,99.65
13-Nov-13,31.53,0.9324,99.31
14-Nov-13,31.55,0.9321,99.93
15-Nov-13,31.57,0.9365,100.17
18-Nov-13,31.58,0.94,100.04
19-Nov-13,31.62,0.9412,100.14
20-Nov-13,31.68,0.9369,100.02
21-Nov-13,31.82,0.9249,100.95
22-Nov-13,31.81,0.9163,101.29
25-Nov-13,32.02,0.9148,101.7
26-Nov-13,32.05,0.912,101.38
27-Nov-13,32.15,0.9072,102.18
28-Nov-13, , , 
29-Nov-13,32.07,0.9125,102.45
2-Dec-13,32.13,0.9098,103.04
3-Dec-13,32.17,0.9123,102.36
4-Dec-13,32.23,0.9009,102.48
5-Dec-13,32.22,0.9069,101.82
6-Dec-13,32.22,0.9091,102.88
9-Dec-13,32.14,0.9084,103.22
10-Dec-13,32.07,0.915,102.8
11-Dec-13,32.08,0.9066,102.38
12-Dec-13,32.08,0.8925,103.11
13-Dec-13,32.02,0.8961,103.28
16-Dec-13,32.01,0.8969,102.91
17-Dec-13,32.11,0.8903,102.63
18-Dec-13,32.27,0.8884,103.18
19-Dec-13,32.48,0.8858,104.16
20-Dec-13,32.6,0.8918,104.07
23-Dec-13,32.7,0.894,104.06
24-Dec-13,32.67,0.892,104.26
25-Dec-13, , , 
26-Dec-13,32.82,0.8885,104.72
27-Dec-13,32.85,0.8886,105.05
30-Dec-13,32.81,0.8922,105
31-Dec-13,32.68,0.8929,105.25
1-Jan-14, , , 
2-Jan-14,32.97,0.8924,104.84
3-Jan-14,32.98,0.8976,104.46
6-Jan-14,33.06,0.8961,104.38
7-Jan-14,33.08,0.8923,104.54
8-Jan-14,33.05,0.8909,104.87
9-Jan-14,33.02,0.8886,104.74
10-Jan-14,32.99,0.8985,104.06
13-Jan-14,32.96,0.9053,103.31
14-Jan-14,32.72,0.898,103.8
15-Jan-14,32.85,0.8925,104.42
16-Jan-14,32.76,0.8802,104.32
17-Jan-14,32.81,0.8778,104.32
20-Jan-14, , , 
21-Jan-14,32.88,0.8801,104.14
22-Jan-14,32.91,0.8839,104.36
23-Jan-14,32.87,0.8774,103.65
24-Jan-14,32.84,0.8715,102.41
27-Jan-14,32.91,0.8735,102.26
28-Jan-14,32.91,0.877,102.8
29-Jan-14,32.9,0.8763,102.2
30-Jan-14,32.97,0.8771,102.83
31-Jan-14,33.01,0.8743,102.28
3-Feb-14,32.91,0.8777,101.11
4-Feb-14,32.74,0.8935,101.62
5-Feb-14,32.73,0.8911,101.38
6-Feb-14,32.78,0.8967,101.84
7-Feb-14,32.8,0.8959,102.32
10-Feb-14,32.8,0.8944,102.14
11-Feb-14,32.74,0.9045,102.63
12-Feb-14,32.53,0.9028,102.48
13-Feb-14,32.55,0.8979,102.2
14-Feb-14,32.32,0.9023,101.82
17-Feb-14, , , 
18-Feb-14,32.46,0.9039,102.31
19-Feb-14,32.54,0.9027,102.3
20-Feb-14,32.57,0.8981,102.32
21-Feb-14,32.52,0.8961,102.71
24-Feb-14,32.52,0.9042,102.44
25-Feb-14,32.54,0.9025,102.2
26-Feb-14,32.58,0.8962,102.36
27-Feb-14,32.59,0.896,102.12
28-Feb-14,32.52,0.8933,102.08
3-Mar-14,32.53,0.8929,101.36
4-Mar-14,32.32,0.894,102.18
5-Mar-14,32.27,0.8984,102.32
6-Mar-14,32.25,0.91,103.03
7-Mar-14,32.36,0.9071,103.38
10-Mar-14,32.38,0.9021,103.23
11-Mar-14,32.28,0.902,103.18
12-Mar-14,32.39,0.8972,102.74
13-Mar-14,32.33,0.9058,102.12
14-Mar-14,32.25,0.904,101.46
17-Mar-14,32.21,0.9092,101.62
18-Mar-14,32.1,0.9134,101.37
19-Mar-14,32.16,0.9103,101.54
20-Mar-14,32.38,0.9042,102.39
21-Mar-14,32.38,0.909,102.38
24-Mar-14,32.47,0.9126,102.21
25-Mar-14,32.58,0.9147,102.32
26-Mar-14,32.57,0.9225,102.3
27-Mar-14,32.48,0.9262,102.1
28-Mar-14,32.49,0.9239,102.92
31-Mar-14,32.42,0.9275,102.98
1-Apr-14,32.34,0.9252,103.52
2-Apr-14,32.4,0.9236,103.82
3-Apr-14,32.47,0.9219,103.94
4-Apr-14,32.46,0.9292,103.39
7-Apr-14,32.46,0.9265,103.04
8-Apr-14,32.26,0.9356,102.12
9-Apr-14,32.2,0.9368,101.85
10-Apr-14,32.23,0.9424,101.43
11-Apr-14,32.26,0.9401,101.56
14-Apr-14,32.26,0.9409,101.81
15-Apr-14,32.3,0.9342,101.6
16-Apr-14,32.23,0.938,102.3
17-Apr-14,32.16,0.9339,102.22
18-Apr-14,32.16,0.933,102.43
21-Apr-14,32.23,0.9337,102.56
22-Apr-14,32.31,0.9365,102.6
23-Apr-14,32.35,0.9283,102.26
24-Apr-14,32.36,0.9257,102.34
25-Apr-14,32.25,0.9272,102.12
28-Apr-14,32.26,0.9254,102.46
29-Apr-14,32.25,0.9266,102.57
30-Apr-14,32.36,0.9282,102.14
1-May-14,32.36,0.9275,102.3
2-May-14,32.36,0.9257,102.34
5-May-14,32.35,0.9276,102.06
6-May-14,32.35,0.936,101.57
7-May-14,32.37,0.9336,101.72
8-May-14,32.51,0.9382,101.66
9-May-14,32.61,0.9358,101.74
12-May-14,32.62,0.9364,102.1
13-May-14,32.61,0.9369,102.2
14-May-14,32.41,0.9379,101.75
15-May-14,32.49,0.9346,101.44
16-May-14,32.49,0.9367,101.5
19-May-14,32.47,0.9343,101.26
20-May-14,32.51,0.9259,101.26
21-May-14,32.49,0.9215,101.44
22-May-14,32.56,0.9222,101.76
23-May-14,32.55,0.9235,101.88
26-May-14, , , 
27-May-14,32.63,0.924,102.14
28-May-14,32.68,0.9227,101.78
29-May-14,32.78,0.9289,101.58
30-May-14,32.84,0.9298,101.77
2-Jun-14,32.85,0.925,102.3
3-Jun-14,32.6,0.9255,102.42
4-Jun-14,32.66,0.9269,102.69
5-Jun-14,32.63,0.9321,102.44
6-Jun-14,32.48,0.9328,102.5
9-Jun-14,32.44,0.9347,102.52
10-Jun-14,32.46,0.9365,102.37
11-Jun-14,32.46,0.9391,101.94
12-Jun-14,32.44,0.943,101.83
13-Jun-14,32.37,0.9396,102.06
16-Jun-14,32.35,0.94,101.82
17-Jun-14,32.48,0.934,102.18
18-Jun-14,32.47,0.934,102.16
19-Jun-14,32.47,0.9406,101.84
20-Jun-14,32.45,0.9387,102.14
23-Jun-14,32.45,0.9417,101.9
24-Jun-14,32.44,0.938,102.13
25-Jun-14,32.44,0.9398,101.75
26-Jun-14,32.48,0.9405,101.66
27-Jun-14,32.45,0.9413,101.39
30-Jun-14,32.43,0.9427,101.28
1-Jul-14,32.39,0.9488,101.51
2-Jul-14,32.38,0.9444,101.76
3-Jul-14,32.38,0.9358,102.19
4-Jul-14, , , 
7-Jul-14,32.4,0.9371,101.84
8-Jul-14,32.38,0.94,101.53
9-Jul-14,32.19,0.9396,101.7
10-Jul-14,32.17,0.9387,101.26
11-Jul-14,32.13,0.9383,101.33
14-Jul-14,32.13,0.9392,101.58
15-Jul-14,32.11,0.9366,101.62
16-Jul-14,32.09,0.9362,101.69
17-Jul-14,32.16,0.9372,101.3
18-Jul-14,32.12,0.9386,101.37
21-Jul-14,31.89,0.9377,101.34
22-Jul-14,31.74,0.9388,101.54
23-Jul-14,31.81,0.945,101.5
24-Jul-14,31.83,0.9419,101.82
25-Jul-14,31.82,0.9404,101.81
28-Jul-14,31.8,0.941,101.82
29-Jul-14,31.83,0.9378,102.12
30-Jul-14,31.97,0.9315,102.9
31-Jul-14,32.18,0.9301,102.75
1-Aug-14,32.14,0.9304,102.45
4-Aug-14,32.16,0.9328,102.47
5-Aug-14,32.21,0.9301,102.77
6-Aug-14,32.21,0.9327,102.34
7-Aug-14,32.22,0.9283,102.06
8-Aug-14,32.13,0.9277,101.91
11-Aug-14,32.06,0.9263,102.14
12-Aug-14,32.06,0.927,102.22
13-Aug-14,31.95,0.9302,102.48
14-Aug-14,31.84,0.9322,102.44
15-Aug-14,31.86,0.9306,102.19
